hospital_name,hospital_id,hospital_city,hospital_state,latitude,longitude,disease_code,disease_name,total_cases,mean_age,median_age,std_age,min_age,max_age,male_count,total_encounters,male_percentage,age_range,cases_per_encounter,distance_from_center_km
CRYSTAL FALLS General Hospital,5,CRYSTAL FALLS,MI,46.098007,-88.334024,J44.1,J44.1,3,,,,,,0,3,0.0,,1.0,2263.911907776498
ESCANABA General Hospital,374,ESCANABA,MI,0.0,0.0,J44.1,J44.1,9,58.800000000000004,58.8,0.0,58.8,58.8,9,9,100.0,0.0,1.0,8796.392046602641
Escanaba General Hospital,33,Escanaba,MI,45.745247,-87.06458,J44.1,J44.1,15,51.559999999999995,46.5,10.475195190816935,46.5,71.8,0,15,0.0,25.299999999999997,1.0,2120.5847597586107
GWINN General Hospital,175,GWINN,MI,46.281056,-87.440972,J44.1,J44.1,1,65.4,65.4,,65.4,65.4,0,1,0.0,0.0,1.0,2185.2974099747794
IRON RIVER General Hospital,6,IRON RIVER,MI,46.092732,-88.642354,J44.1,J44.1,3,68.8,68.8,0.0,68.8,68.8,3,3,100.0,0.0,1.0,2294.2996498168222
ISHPEMING General Hospital,262,ISHPEMING,MI,46.488547,-87.667636,J44.1,J44.1,1,63.5,63.5,,63.5,63.5,1,1,100.0,0.0,1.0,2218.37983337819
MARQUETTE General Hospital,174,MARQUETTE,MI,46.54362,-87.395371,J44.1,J44.1,9,53.300000000000004,53.3,0.0,53.3,53.3,9,9,100.0,0.0,1.0,2194.8208778571734
MARQUETTE General Hospital,208,MARQUETTE,MI,46.54362,-87.395371,J44.1,J44.1,1,45.5,45.5,,45.5,45.5,1,1,100.0,0.0,1.0,2194.8208778571734
RAPID RIVER General Hospital,531,RAPID RIVER,MI,0.0,0.0,J44.1,J44.1,3,79.6,79.6,0.0,79.6,79.6,3,3,100.0,0.0,1.0,8796.392046602641
WELLS General Hospital,70,WELLS,MI,45.783451,-87.072182,J44.1,J44.1,3,58.6,58.6,0.0,58.6,58.6,3,3,100.0,0.0,1.0,2123.287309776526
